4,2AF,http://facet.dcc.uchile.cl/grafa/search?lang=es&instance=Q23397&properties=P205%23%23Q1009&properties=&properties=&properties=&properties=,1511357330058
4,3AS,-,1511357333028
10,1AS,-,1511357337418
8,3AF,,1511357341862
8,4AS,-,1511357343425
9,2BF,https://query.wikidata.org/#SELECT%20%3Flago%20%3FlagoLabel%20WHERE%20%7B%0A%20%20SERVICE%20wikibase%3Alabel%20%7B%20bd%3AserviceParam%20wikibase%3Alanguage%20%22%5BAUTO_LANGUAGE%5D%2Cen%22.%20%7D%0A%20%20%3Flago%20wdt%3AP31%20wd%3AQ23397.%0A%20%20%3Flago%20wdt%3AP17%20wd%3AQ1009.%0A%7D%0ALIMIT%20100,1511357386940
9,3BS,-,1511357391367
2,5AF,https://query.wikidata.org/#SELECT%20%3Fmujer%20WHERE%20%7B%0A%20%20SERVICE%20wikibase%3Alabel%20%7B%20bd%3AserviceParam%20wikibase%3Alanguage%20%22%5BAUTO_LANGUAGE%5D%2Cen%22.%20%7D%0A%20%20%3Fmujer%20wdt%3AP31%20wd%3AQ467.%0A%20%20%3Fmujer%20wdt%3AP19%20wd%3AQ20.%0A%20%20%0A%7D%0ALIMIT%20100,1511357404631
3,2BF,,1511357405243
2,6AS,-,1511357405643
3,3BS,-,1511357406148
8,4AF,http://facet.dcc.uchile.cl/grafa/search?lang=es&keyword=papa&instance=,1511357427374
8,5AS,-,1511357428817
0,2AF,,1511357434422
0,3AS,-,1511357436172
1,6BF,,1511357464236
1,7BS,-,1511357467854
5,3BF,http://facet.dcc.uchile.cl/grafa/search?keyword=Faros+en+Noregua&instance=&properties=,1511357486384
2,6AF,http://facet.dcc.uchile.cl/grafa/search?lang=es&instance=Q13442814&properties=P921%23%23Q2013,1511357491367
5,4BS,-,1511357491650
2,7AS,-,1511357492603
9,3BF,http://facet.dcc.uchile.cl/grafa/search?lang=es&instance=Q843152&properties=P17%23%23Q20,1511357496410
9,4BS,-,1511357498784
6,4AF,,1511357503742
6,5AS,-,1511357506728
10,1AF,https://query.wikidata.org/#SELECT%20%3Fobra_de_teatro%20%3Fobra_de_teatroLabel%20WHERE%20%7B%0A%20%20SERVICE%20wikibase%3Alabel%20%7B%20bd%3AserviceParam%20wikibase%3Alanguage%20%22%5BAUTO_LANGUAGE%5D%2Cen%22.%20%7D%0A%20%20%0A%20%20%0A%20%20%3Fobra_de_teatro%20wdt%3AP31%20wd%3AQ25379.%0A%7D%0ALIMIT%20100,1511357524987
9,4BF,https://query.wikidata.org/#SELECT%20%3Flago%20%3FlagoLabel%20WHERE%20%7B%0A%20%20SERVICE%20wikibase%3Alabel%20%7B%20bd%3AserviceParam%20wikibase%3Alanguage%20%22%5BAUTO_LANGUAGE%5D%2Cen%22.%20%7D%0A%20%20%3Flago%20wdt%3AP31%20wd%3AQ23397.%0A%20%20%3Flago%20wdt%3AP17%20wd%3AQ1009.%0A%7D%0ALIMIT%20100,1511357528562
10,2AS,-,1511357529051
9,5BS,-,1511357530605
8,5AF,http://tinyurl.com/y9l7llk4,1511357551381
8,6AS,-,1511357553168
0,3AF,https://query.wikidata.org/#SELECT%20%3FO%20%3FOLabel%20WHERE%20%7B%0A%20%20%3FO%20wdt%3AP31%20wd%3AQ39715.%0A%20%20%3FO%20wdt%3AP17%20wd%3AQ20.%0A%7D,1511357553257
0,4AS,-,1511357554662
2,7AF,,1511357600094
2,8AS,-,1511357601473
1,7BF,http://facet.dcc.uchile.cl/grafa/search?lang=es&instance=Q21191270&properties=P179%23%23Q321423,1511357607314
1,8BS,-,1511357608537
